t,u,y
0,0.25,0.20194758272173513
1,0.32430055345305187,0.45473848721854704
2,0.3931051287495386,0.5841557015638579
3,0.45611651808090276,0.7382016340430423
4,0.513142436608335,0.7878223375880186
5,0.564092984717778,0.8719158238516312
6,0.608976140012147,0.8786813376434238
7,0.6478914083783579,0.9215112359300918
8,0.6810218000668956,0.928990717384956
9,0.7086243297246767,0.9690424349233453
10,0.7310192680621185,0.949715250705393
11,0.7485783967349519,0.9506266306456873
12,0.7617125366025769,0.9848110427542796
13,0.7708586324192852,0.958872082428755
14,0.7764666839710707,0.9584018813030429
15,0.7789868145595737,0.9956392250620798
16,0.7788567625511208,0.9722351894554974
17,0.7764900705725116,0.9759759312978415
18,0.772265230087977,0.9771048877411
19,0.7665160168923649,0.9865867602106249
20,0.7595232259725848,0.9713044246238548
21,0.7515079827910931,0.9834308246547938
22,0.7426267729885099,0.974761933873206
23,0.7329682945189403,0.9711694360095069
24,0.7225521961126526,0.9679003334051167
25,0.7113297245415156,0.9815302716352421
26,0.699186261304509,0.9630043527732982
27,0.6859456879240851,0.9625132407436332
28,0.6713764789104885,0.9598091864977073
29,0.6551993834450534,0.9465178785650983
30,0.6370965217458877,0.9632580255849577
31,0.6167216906411745,0.959295534832955
32,0.5937116457425653,0.9698689394918533
33,0.5676981053513243,0.9518809533663801
34,0.53832020431054,0.9453047574481953
35,0.5052371147956349,0.9068827015349695
36,0.4681405457533097,0.904276563946773
37,0.42676683347476085,0.8967438912901726
38,0.38090834261668194,0.8695003559734047
39,0.3304239097329814,0.8366301649820589
40,0.2752480797993314,0.7697207003787435
41,0.2153989099326481,0.7416564709902437
42,0.15098414305042668,0.6284452906554284
43,0.08220558700272232,0.522553606370257
44,0.009361571077024927,0.36846375884344357
45,-0.06715260901645242,0.2082001763605186
46,-0.14684630532352966,-0.023594831728596284
47,-0.22913719618641687,-0.22059327085050548
48,-0.3133569915652091,-0.43346134333390934
49,-0.398759085326714,-0.6101756827614565
50,-0.48452803386410576,-0.7143524673745004
51,-0.569790701837422,-0.8239701532613486
52,-0.6536288802946032,-0.8850535466003318
53,-0.7350931506787156,-0.9278628855360225
54,-0.8132177409065967,-0.9497612924620575
55,-0.8870360973854039,-0.952884902262255
56,-0.9555968799836932,-0.9662874208052106
57,-1.017980075949281,-0.984057359183524
58,-1.0733129238062007,-1.0002877370475292
59,-1.1207853394835188,-1.0120878709143515
60,-1.1596645443204883,-1.0071731432892779
61,-1.1893086080211326,-0.9986963859167772
62,-1.2091786388400512,-1.0061598717046358
63,-1.2188493778957938,-0.9941279650835995
64,-1.2180179840444951,-1.0052453623612312
65,-1.2065108296204752,-0.9869379075295527
66,-1.1842881648897163,-0.9814338304224299
67,-1.1514465495194008,-0.984662232401249
68,-1.108218991935311,-0.999348993405629
69,-1.0549727812688607,-1.0103946892742806
70,-0.9922050408109022,-0.9921466727778755
71,-0.9205360756058342,-0.9812234665249427
72,-0.8407006291623904,-0.9785966419925274
73,-0.7535372043794165,-0.9797336180997454
74,-0.6599756408831949,-0.9756474250636874
75,-0.5610231743055123,-0.9679703753531999
76,-0.45774923193246125,-0.9573611337981673
77,-0.35126924304619556,-0.9106044637882794
78,-0.24272776068961316,-0.8563254149480269
79,-0.13328120414211786,-0.7606008819696173
80,-0.024080537856037296,-0.5886089161041606
81,0.08374579715624991,-0.35374812720017346
82,0.189108389473496,-0.06987365386988843
83,0.2909725030159883,0.25595385970002177
84,0.3883725823712571,0.49873878999488813
85,0.4804253610623118,0.6795074437681944
86,0.5663413445152172,0.7973146786823647
87,0.6454344722930162,0.8770149146366005
88,0.7171298007269932,0.9186299349948563
89,0.7809690866523757,0.9383232165027876
90,0.8366141947418587,0.9791224676863863
91,0.8838482940813381,0.9928924117693022
92,0.9225748532757836,0.9740160699993218
93,0.9528144866283754,1.0062300779029303
94,0.9746997459311035,0.9962629987756224
95,0.9884679922948938,0.9825416355097604
96,0.9944525194309485,0.98916350774586
97,0.993072133131494,1.0094927446531576
98,0.9848194207218595,0.9883390509214984
99,0.9702479683897953,0.9922233758733493
100,0.9499588030656649,0.9982296757800084
101,0.9245863485619367,1.0069692743393632
102,0.894784192733115,0.9906171664248689
103,0.8612109633609817,0.9745740429312644
104,0.8245166053027242,0.9966205738474996
105,0.7853293402839698,1.0015696466712947
106,0.7442435738197906,0.9757720061267402
107,0.7018089914664222,0.9947344404794204
108,0.6585210594162768,0.9911977830964773
109,0.6148131129203177,0.9615745758491605
110,0.5710501808145901,0.9597463006082624
111,0.527524656275877,0.9511205663197926
112,0.48445388362876984,0.9305982785473488
113,0.4419796894099644,0.9181188676479601
114,0.4001698438284115,0.8754903855646399
115,0.3590213971136676,0.8516755897212381
116,0.3184657948815472,0.8127249726727888
117,0.2783756384012184,0.7797217134628539
118,0.23857292031208344,0.7255739146105258
119,0.19883853464294987,0.649284925696173
120,0.15892283258552845,0.5817444664076771
121,0.11855697293590389,0.5281252586000124
122,0.0774647989078528,0.43326564853260335
123,0.03537496149728918,0.32750855816071045
124,-0.007966996022610015,0.19614089382533798
125,-0.052786877453612685,0.09771653675549545
126,-0.09927067537218409,-0.03483471791854233
127,-0.1475542812951306,-0.1588772943691716
128,-0.19771431239649892,-0.28229261946742873
129,-0.24976027954639687,-0.4030535343624392
130,-0.30362829332423086,-0.5463008118357057
131,-0.3591764723149604,-0.6497297764936611
132,-0.4161821820920569,-0.7321123532459258
133,-0.47434119456383894,-0.7796017945488758
134,-0.5332688166080966,-0.8564721185059206
135,-0.5925029949833323,-0.8961138425618594
136,-0.6515093622486925,-0.9301022777701203
137,-0.7096881467213294,-0.9408331223266679
138,-0.766382829212082,-0.9430117395869269
139,-0.8208903912423275,-0.9708696149277848
140,-0.8724729644461431,-0.9872642963575599
141,-0.9203706596308427,-0.9839002443211997
142,-0.9638153271576023,-1.0046642293369092
143,-1.0020449784749705,-0.9896846801221928
144,-1.0343185822532026,-1.01020380609734
145,-1.0599309379775683,-0.9888511745027605
146,-1.0782273252973658,-1.0040853369766278
147,-1.0886176290048375,-0.9824399084046539
148,-1.0905896472201628,-1.0141444461630944
149,-1.0837213040458131,-0.9795236236372968
150,-1.067691507364523,-1.0126230466593875
151,-1.0422894172115822,-1.0112361707810558
152,-1.007421919766637,-0.9955484457776694
153,-0.9631191358956716,-0.98251453263777
154,-0.9095378306557826,-0.9916435173996835
155,-0.8469626305052464,-0.975231564236999
156,-0.7758049973320171,-0.992031904040328
157,-0.6965999519754007,-0.992707241412958
158,-0.610000583793495,-0.970548085375346
159,-0.5167704261407218,-0.9776124165329823
160,-0.41777381949361475,-0.918878753097633
161,-0.3139644235553938,-0.908812282359784
162,-0.20637207618230882,-0.8353410407116231
163,-0.09608822967069455,-0.7004811033357453
164,0.01574977683742941,-0.5172376660241681
165,0.12797532690070276,-0.22374020664973296
166,0.23940971869177763,0.06008828621727401
167,0.3488796279113797,0.3601615791910754
168,0.45523452466900227,0.5911111718903952
169,0.5573637278582831,0.7548202124509044
170,0.6542127873380124,0.8538654042703692
171,0.7447988970986203,0.9223558990121381
172,0.8282250612917139,0.9719336559611697
173,0.9036927591519471,0.9817516676275109
174,0.9705128839616317,0.9899413718350074
175,1.0281147647143603,0.9763693417780722
176,1.0760531163516562,0.999234784030651
177,1.11401280462904,0.9987267802948936
178,1.1418113540080794,1.0062274328541396
179,1.1593991706193376,0.9949941018384326
180,1.1668574964221947,1.012951616392052
181,1.1643941543177616,1.0042715806979219
182,1.1523371862770304,1.0107719331302107
183,1.1311265266820314,0.9949631618752236
184,1.1013038902418937,0.9795559629651992
185,1.0635010872981392,0.9982645022161662
186,1.0184270084100018,0.9830162320803287
187,0.9668535442362132,0.9870116510389035
188,0.909600725430625,0.9881833449634794
189,0.8475213801820134,0.9901475214385481
190,0.7814856139078515,0.9857076974599759
191,0.7123654163351234,0.9684662943871507
192,0.6410196957707335,0.9633283519514062
193,0.5682800289071862,0.9684972504026625
194,0.4949373972756259,0.9396886401440999
195,0.42173015881493137,0.9291428296591038
196,0.34933347544861504,0.8974235918880978
197,0.27835038562696146,0.8373199309238514
198,0.20930467516417872,0.7792215280238118
199,0.14263566111767687,0.6858790013699378
200,0.07869496271652293,0.5589914395662205
201,0.017745291289044313,0.4000353396785191
202,-0.040038751368238645,0.2407500571564674
203,-0.09456791882273885,0.0547197260292656
204,-0.1458337034781902,-0.08976053690165844
205,-0.19390198979892662,-0.23816750258981706
206,-0.2389051451534278,-0.3691051146751612
207,-0.281032748252198,-0.5129113710599271
208,-0.3205211829587586,-0.590382464209273
209,-0.35764234818573026,-0.6577746494958807
210,-0.39269175218435337,-0.7304338958757328
211,-0.42597627143933475,-0.7856563660913422
212,-0.4578018603529109,-0.7967985950566449
213,-0.4884614978258467,-0.8531321921350975
214,-0.5182236507267184,-0.8837170394201351
215,-0.5473215222164842,-0.8884310873816443
216,-0.5759433352168032,-0.9080555540240104
217,-0.6042238783481224,-0.9201079952320391
218,-0.6322375138958254,-0.9405252981645578
